ID,Site,Date,Start.angle,Transect.angle,Transect,Point,Family,Genus,Species,N,Author,DBH,Height,Notes.stem,Notes.other,UTM.begin.1,UTM.begin.2,UTM.end.1,UTM.end.2,Photos.site,Photos.plant,dis,hab,point
745,El dorado,20/11/2015,40,220,ED1,2,Euphorbiaceae,Alchorneopsis,floribunda,Alchorneopsis floribunda,(Benth.) Müll. Arg.,3.9,4,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
746,El dorado,20/11/2015,40,220,ED1,2,Rubiaceae,Ladenbergia,amazonensis,Ladenbergia amazonensis, Ducke,6.4,6,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
747,El dorado,20/11/2015,40,220,ED1,2,Euphorbiaceae,Alchornea,triplinervia,Alchornea triplinervia,(Spreng.) Müll. Arg.,10.6,7,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
748,El dorado,20/11/2015,40,220,ED1,2,Fabaceae,Parkia,igneiflora,Parkia igneiflora,Ducke,2.5,4,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
749,El dorado,20/11/2015,40,220,ED1,2,Euphorbiaceae,Alchornea,triplinervia,Alchornea triplinervia,(Spreng.) Müll. Arg.,13.9,13,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
750,El dorado,20/11/2015,40,220,ED1,2,Euphorbiaceae,Alchornea,triplinervia,Alchornea triplinervia,(Spreng.) Müll. Arg.,10.1,8,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
751,El dorado,20/11/2015,40,220,ED1,2,Rubiaceae,Remijia,ulei,Remijia ulei,K. Krause,2.6,4,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
752,El dorado,20/11/2015,40,220,ED1,2,Euphorbiaceae,Alchornea,triplinervia,Alchornea triplinervia,(Spreng.) Müll. Arg.,17.6,7,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
753,El dorado,20/11/2015,40,220,ED1,2,Euphorbiaceae,Alchornea,triplinervia,Alchornea triplinervia,(Spreng.) Müll. Arg.,33,7,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
754,El dorado,20/11/2015,40,220,ED1,2,Euphorbiaceae,Alchornea,triplinervia,Alchornea triplinervia,(Spreng.) Müll. Arg.,15.6,7,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
755,El dorado,20/11/2015,40,220,ED1,2,Arecaceae,Euterpe,catinga,Euterpe catinga,Wallace,4.3,4,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
756,El dorado,20/11/2015,40,220,ED1,2,Euphorbiaceae,Alchornea,triplinervia,Alchornea triplinervia,(Spreng.) Müll. Arg.,10.45,7,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
757,El dorado,20/11/2015,40,220,ED1,2,Siparunaceae,Siparuna,guianensis,Siparuna guianensis,Aubl.,3.4,4,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
758,El dorado,20/11/2015,40,220,ED1,2,Fabaceae,Inga,quaternata,Inga quaternata,Poepp. & Endl.,6.1,7,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
759,El dorado,20/11/2015,40,220,ED1,2,Clusiaceae,Clusia,panapanari,Clusia panapanari,(Aubl.) Choisy,5.9,6,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
760,El dorado,20/11/2015,40,220,ED1,2,Euphorbiaceae,Alchornea,triplinervia,Alchornea triplinervia,(Spreng.) Müll. Arg.,16.1,6,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
761,El dorado,20/11/2015,40,220,ED1,2,Lauraceae,Nectandra,globosa,Nectandra globosa,(Aubl.) Mez,13.5,5,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
762,El dorado,20/11/2015,40,220,ED1,2,Arecaceae,Euterpe,catinga,Euterpe catinga,Wallace,6.4,5,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
763,El dorado,20/11/2015,40,220,ED1,2,Gentianaceae,Potalia,amara,Potalia amara, Aubl.,3.7,4,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
764,El dorado,20/11/2015,40,220,ED1,2,Fabaceae,Macrolobium,microcalyx,Macrolobium microcalyx,Ducke,3.2,5,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
765,El dorado,20/11/2015,40,220,ED1,2,Lauraceae,Nectandra,globosa,Nectandra globosa,(Aubl.) Mez,3.6,7,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
766,El dorado,20/11/2015,40,220,ED1,2,Myristicaceae,Virola,pavonis,Virola pavonis,(A.DC.) A.C.Sm.,5.6,7,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
767,El dorado,20/11/2015,40,220,ED1,2,Calophyllaceae,Caraipa,tereticaulis,Caraipa tereticaulis,Tul.,2.7,5,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
768,El dorado,20/11/2015,40,220,ED1,2,Fabaceae,Parkia,igneiflora,Parkia igneiflora,Ducke,3.9,4,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
769,El dorado,20/11/2015,40,220,ED1,2,Araliaceae,Dendropanax,umbellatus,Dendropanax umbellatus,(Ruiz & Pav.) J.F. Macbr.,4.8,6,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
770,El dorado,20/11/2015,40,220,ED1,2,Calophyllaceae,Caraipa,tereticaulis,Caraipa tereticaulis,Tul.,3.9,4,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
771,El dorado,20/11/2015,40,220,ED1,2,Euphorbiaceae,Alchornea,triplinervia,Alchornea triplinervia,(Spreng.) Müll. Arg.,21.9,8,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
772,El dorado,20/11/2015,40,220,ED1,2,Arecaceae,Euterpe,catinga,Euterpe catinga,Wallace,8.8,8,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
773,El dorado,20/11/2015,40,220,ED1,2,Rubiaceae,Psychotria,remota,Psychotria remota,Benth.,3.8,5,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
774,El dorado,20/11/2015,40,220,ED1,2,Calophyllaceae,Caraipa,tereticaulis,Caraipa tereticaulis,Tul.,3.2,4,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
775,El dorado,20/11/2015,40,220,ED1,2,Fabaceae,Inga,heterophylla,Inga heterophylla,Willd.,6.2,6,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
776,El dorado,20/11/2015,40,220,ED1,2,Calophyllaceae,Caraipa,tereticaulis,Caraipa tereticaulis,Tul.,5.5,5,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
777,El dorado,20/11/2015,40,220,ED1,2,Euphorbiaceae,Mabea,nitida,Mabea nitida,Spruce ex Benth.,2.8,5,,,742,NA,743,NA, 209 - 212,,D,W,ED1_2
778,El dorado,20/11/2015,270,180,ED1,3,Malvaceae,Pachira,brevipes,Pachira brevipes,(A. Robyns) W.S. Alverson,5.6,4,,,744,NA,745,NA, 213 - 216,,D,W,ED1_3
779,El dorado,20/11/2015,270,180,ED1,3,Arecaceae,Euterpe,catinga,Euterpe catinga,Wallace,6.6,4,,,744,NA,745,NA, 213 - 216,,D,W,ED1_3
780,El dorado,20/11/2015,270,180,ED1,3,Araliaceae,Dendropanax,umbellatus,Dendropanax umbellatus,(Ruiz & Pav.) J.F. Macbr.,9,6,,,744,NA,745,NA, 213 - 216,,D,W,ED1_3
781,El dorado,20/11/2015,270,180,ED1,3,Arecaceae,Euterpe,catinga,Euterpe catinga,Wallace,7.2,7,,,744,NA,745,NA, 213 - 216,,D,W,ED1_3
782,El dorado,20/11/2015,270,180,ED1,3,Cardiopteridaceae,Dendrobangia,boliviana,Dendrobangia boliviana,Rusby,3.3,4,,,744,NA,745,NA, 213 - 216,,D,W,ED1_3
783,El dorado,20/11/2015,270,180,ED1,3,Araliaceae,Dendropanax,umbellatus,Dendropanax umbellatus,(Ruiz & Pav.) J.F. Macbr.,3.5,7,,,744,NA,745,NA, 213 - 216,,D,W,ED1_3
784,El dorado,20/11/2015,270,180,ED1,3,Araliaceae,Dendropanax,umbellatus,Dendropanax umbellatus,(Ruiz & Pav.) J.F. Macbr.,3.7,5,,,744,NA,745,NA, 213 - 216,,D,W,ED1_3
785,El dorado,20/11/2015,270,180,ED1,3,Salicaceae,Tetrathylacium,macrophyllum,Tetrathylacium macrophyllum, Poepp.,3.8,5,,,744,NA,745,NA, 213 - 216,,D,W,ED1_3
786,El dorado,20/11/2015,270,180,ED1,3,Araliaceae,Dendropanax,umbellatus,Dendropanax umbellatus,(Ruiz & Pav.) J.F. Macbr.,12,7,,,744,NA,745,NA, 213 - 216,,D,W,ED1_3
787,El dorado,20/11/2015,270,180,ED1,3,Araliaceae,Dendropanax,umbellatus,Dendropanax umbellatus,(Ruiz & Pav.) J.F. Macbr.,3.2,7,,,744,NA,745,NA, 213 - 216,,D,W,ED1_3
788,El dorado,20/11/2015,270,180,ED1,3,Arecaceae,Euterpe,catinga,Euterpe catinga,Wallace,8.4,6,,,744,NA,745,NA, 213 - 216,,D,W,ED1_3
789,El dorado,20/11/2015,270,180,ED1,3,Araliaceae,Dendropanax,umbellatus,Dendropanax umbellatus,(Ruiz & Pav.) J.F. Macbr.,2.5,6,,,744,NA,745,NA, 213 - 216,,D,W,ED1_3
790,El dorado,20/11/2015,270,180,ED1,3,Arecaceae,Euterpe,catinga,Euterpe catinga,Wallace,9.9,7,,,744,NA,745,NA, 213 - 216,,D,W,ED1_3
791,El dorado,20/11/2015,270,180,ED1,3,Araliaceae,Dendropanax,umbellatus,Dendropanax umbellatus,(Ruiz & Pav.) J.F. Macbr.,10.3,6,,,744,NA,745,NA, 213 - 216,,D,W,ED1_3
792,El dorado,20/11/2015,270,180,ED1,3,Rubiaceae,Remijia,ulei,Remijia ulei,K. Krause,2.6,5,,,744,NA,745,NA, 213 - 216,,D,W,ED1_3
793,El dorado,20/11/2015,270,180,ED1,3,Rubiaceae,Remijia,ulei,Remijia ulei,K. Krause,3.2,6,,,744,NA,745,NA, 213 - 216,,D,W,ED1_3
794,El dorado,20/11/2015,270,180,ED1,3,Araliaceae,Dendropanax,umbellatus,Dendropanax umbellatus,(Ruiz & Pav.) J.F. Macbr.,7.2,8,,,744,NA,745,NA, 213 - 216,,D,W,ED1_3
795,El dorado,20/11/2015,270,180,ED1,3,Araliaceae,Dendropanax,umbellatus,Dendropanax umbellatus,(Ruiz & Pav.) J.F. Macbr.,3.4,5,,,744,NA,745,NA, 213 - 216,,D,W,ED1_3
,El dorado,20/11/2015,,,ED1,4,,,, ,,NA,NA,,No se registraron arboles,El punto esta sobre un arenal dentro de la propiedad de la granja don pollo,NA,NA,NA,,,D,W,ED1_4
,El dorado,20/11/2015,230,100,ED1,6,,,, ,,NA,NA,,No se registraron arboles,746,NA,1018,NA,217,,D,W,ED1_6
,El dorado,20/11/2015,210,50,ED1,5,,,, ,,NA,NA,,No se registraron arboles,747,NA,1019,NA,"218, 219",,D,W,ED1_5
797,Madre selva,24/11/2015,230,250,MS2,5,Sapotaceae,Pouteria,caimito,Pouteria caimito,(Ruiz & Pav.) Radlk.,17.5,7,,,748,NA,749,NA, 220 - 223,,D,U,MS2_5
,Madre selva,24/11/2015,100,340,MS2,4,,,, ,,NA,NA,,No se registraron arboles,750,NA,751,NA, 224 - 227,,D,U,MS2_4
,Madre selva,24/11/2015,320,10,MS2,3,,,, ,,NA,NA,,No se registraron arboles,752,NA,753,NA, 228 - 231,,D,U,MS2_3
798,Madre selva,24/11/2015,40,200,MS2,2,Myristicaceae,Otoba,parvifolia,Otoba parvifolia,(Markgr.) A.H. Gentry,6.6,6,,,754,NA,755,NA, 232 - 235,,D,U,MS2_2
799,Madre selva,24/11/2015,40,200,MS2,2,Urticaceae,Cecropia,sciadophylla,Cecropia sciadophylla,Mart.,34.7,13,,,754,NA,755,NA, 232 - 235,,D,U,MS2_2
800,Madre selva,24/11/2015,40,200,MS2,2,Urticaceae,Cecropia,ficifolia,Cecropia ficifolia,Warb. ex Snethl.,3.7,6,,,754,NA,755,NA, 232 - 235,,D,U,MS2_2
801,Madre selva,24/11/2015,40,200,MS2,2,Malvaceae,Sterculia,apetala,Sterculia apetala, (Jacq.) H. Karst.,2.8,3,,,754,NA,755,NA, 232 - 235,,D,U,MS2_2
802,Madre selva,24/11/2015,40,200,MS2,2,Malvaceae,Matisia,hirta,Matisia hirta,Cuatrec.,5.7,4,,,754,NA,755,NA, 232 - 235,,D,U,MS2_2
803,Madre selva,24/11/2015,40,200,MS2,2,Piperaceae,Piper,propinquum,Piper propinquum, C. DC.,5.4,5,,,754,NA,755,NA, 232 - 235,,D,U,MS2_2
804,Madre selva,24/11/2015,40,200,MS2,2,Piperaceae,Piper,propinquum,Piper propinquum, C. DC.,6.8,5,,,754,NA,755,NA, 232 - 235,,D,U,MS2_2
805,Madre selva,24/11/2015,40,200,MS2,2,Fabaceae,Inga,umbellifera,Inga umbellifera,(Vahl) DC.,26.4,12,,,754,NA,755,NA, 232 - 235,,D,U,MS2_2
806,Madre selva,24/11/2015,120,340,MS2,1,Fabaceae,Inga,umbellifera,Inga umbellifera,(Vahl) DC.,6.7,4,,,756,NA,757,NA, 236 - 239,,D,U,MS2_1
807,Madre selva,24/11/2015,120,340,MS2,1,Piperaceae,Piper,propinquum,Piper propinquum, C. DC.,4.1,4,,,756,NA,757,NA, 236 - 239,,D,U,MS2_1
808,Madre selva,24/11/2015,120,340,MS2,1,Solanaceae,Cyphomandra,hartwegii,Cyphomandra hartwegii,(Miers) Dunal,5.2,6,,,756,NA,757,NA, 236 - 239,,D,U,MS2_1
809,Madre selva,24/11/2015,120,340,MS2,1,Rubiaceae,Pentagonia,gigantifolia,Pentagonia gigantifolia,Ducke,3.6,3,,,756,NA,757,NA, 236 - 239,,D,U,MS2_1
796,Madre selva,25/11/2015,280,350,MS1,3,Rubiaceae,Isertia,rosea,Isertia rosea,Spruce ex K. Schum.,7.2,4,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
810,Madre selva,25/11/2015,280,350,MS1,3,Rubiaceae,Chimarhis,hookerii,Chimarhis hookerii,K.Schum.,2.5,5,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
811,Madre selva,25/11/2015,280,350,MS1,3,Fabaceae,Inga,umbellifera,Inga umbellifera,(Vahl) DC.,15.8,12,Tallo con espina,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
812,Madre selva,25/11/2015,280,350,MS1,3,Solanaceae,Cyphomandra,hartwegii,Cyphomandra hartwegii,(Miers) Dunal,5.2,8,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
813,Madre selva,25/11/2015,280,350,MS1,3,Lauraceae,Aniba,parviflora,Aniba parviflora,(Meisn.) Mez,5.2,5,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
814,Madre selva,25/11/2015,280,350,MS1,3,Salicaceae,Casearia,obovalis,Casearia obovalis,Poepp. ex Griseb.,6.9,5,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
815,Madre selva,25/11/2015,280,350,MS1,3,Lauraceae,Nectandra,acuminata,Nectandra acuminata,(Nees) J.F.Macbr.,6.8,8,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
816,Madre selva,25/11/2015,280,350,MS1,3,Violaceae,Leonia,glycycarpa,Leonia glycycarpa, Ruiz & Pav.,18,10,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
817,Madre selva,25/11/2015,280,350,MS1,3,Malvaceae,Matisia,bracteolosa,Matisia bracteolosa,Ducke,10.4,9,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
818,Madre selva,25/11/2015,280,350,MS1,3,Myristicaceae,Virola,mollissima,Virola mollissima,(A.DC.) Warb.,21.9,14,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
819,Madre selva,25/11/2015,280,350,MS1,3,Meliaceae,Guarea,pubescens,Guarea pubescens,(Rich.) A. Juss.,5.6,7,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
820,Madre selva,25/11/2015,280,350,MS1,3,Fabaceae,Zygia,latifolia,Zygia latifolia, (L.) Fawc. & Rendle,4,6,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
821,Madre selva,25/11/2015,280,350,MS1,3,Violaceae,Gloeospermum,sphaerocarpum,Gloeospermum sphaerocarpum,Triana & Planch.,8.7,7,flor,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
822,Madre selva,25/11/2015,280,350,MS1,3,Combretaceae,Buchenavia,seriocarpa,Buchenavia seriocarpa,Ducke,25.9,15,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
823,Madre selva,25/11/2015,280,350,MS1,3,Annonaceae,Annona,duckei,Annona duckei,Diels,7,8,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
824,Madre selva,25/11/2015,280,350,MS1,3,Salicaceae,Casearia,obovalis,Casearia obovalis,Poepp. ex Griseb.,3.3,6,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
825,Madre selva,25/11/2015,280,350,MS1,3,Myristicaceae,Compsoneura,capitellata,Compsoneura capitellata,(A. DC.) Warb.,6.8,7,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
826,Madre selva,25/11/2015,280,350,MS1,3,Burseraceae,Protium,amazonicum,Protium amazonicum,(Cuatrec.) Daly,6.8,6,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
827,Madre selva,25/11/2015,280,350,MS1,3,Malvaceae,Matisia,hirta,Matisia hirta,Cuatrec.,30.7,12,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
828,Madre selva,25/11/2015,280,350,MS1,3,Burseraceae,Protium,amazonicum,Protium amazonicum,(Cuatrec.) Daly,25.9,11,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
829,Madre selva,25/11/2015,280,350,MS1,3,Malvaceae,Sterculia,apetala,Sterculia apetala, (Jacq.) H. Karst.,8.1,5,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
830,Madre selva,25/11/2015,280,350,MS1,3,Arecaceae,Socratea,exorrhiza,Socratea exorrhiza,(Mart.) H. Wendl.,15,10,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
831,Madre selva,25/11/2015,280,350,MS1,3,Annonaceae,Xylopia,micans,Xylopia micans, R.E. Fr.,18.4,6,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
832,Madre selva,25/11/2015,280,350,MS1,3,Myristicaceae,Otoba,glycycarpa,Otoba glycycarpa,(Ducke) W.A. Rodrigues & T.S. Jaram.,3.1,2,,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
833,Madre selva,25/11/2015,280,350,MS1,3,Primulaceae,Clavija,elliptica,Clavija elliptica,Mez,3,3,frutos,,758,NA,759,NA, 240 - 243,,P,U,MS1_3
834,Madre selva,25/11/2015,10,130,MS1,4,Lauraceae,Nectandra,acuminata,Nectandra acuminata,(Nees) J.F.Macbr.,6.6,7,,,760,NA,761,NA, 244 - 247,,P,U,MS1_4
835,Madre selva,25/11/2015,10,130,MS1,4,Lauraceae,Nectandra,acuminata,Nectandra acuminata,(Nees) J.F.Macbr.,8.7,7,,,760,NA,761,NA, 244 - 247,,P,U,MS1_4
836,Madre selva,25/11/2015,10,130,MS1,4,Myristicaceae,Compsoneura,capitellata,Compsoneura capitellata,(A. DC.) Warb.,7.3,5,,,760,NA,761,NA, 244 - 247,,P,U,MS1_4
837,Madre selva,25/11/2015,10,130,MS1,4,Malvaceae,Apuleia,leiocarpa,Apuleia leiocarpa,(Vogel) J.F. Macbr.,3.5,6,,,760,NA,761,NA, 244 - 247,,P,U,MS1_4
838,Madre selva,25/11/2015,10,130,MS1,4,Calophyllaceae,Calophyllum,sp. 1,Calophyllum sp. 1,,48.2,11,,,760,NA,761,NA, 244 - 247,,P,U,MS1_4
839,Madre selva,25/11/2015,10,130,MS1,4,Siparunaceae,Siparuna,thecaphora,Siparuna thecaphora,(Poepp. & Endl.) A.DC.,3.1,5,,,760,NA,761,NA, 244 - 247,,P,U,MS1_4
840,Madre selva,25/11/2015,10,130,MS1,4,Chrysobalanaceae,Couepia,dolichopoda,Couepia dolichopoda,Prance,11.2,8,,,760,NA,761,NA, 244 - 247,,P,U,MS1_4
841,Madre selva,25/11/2015,10,130,MS1,4,Myristicaceae,Otoba,glycycarpa,Otoba glycycarpa,(Ducke) W.A. Rodrigues & T.S. Jaram.,16.2,12,,,760,NA,761,NA, 244 - 247,,P,U,MS1_4
842,Madre selva,25/11/2015,10,130,MS1,4,Burseraceae,Protium,amazonicum,Protium amazonicum,(Cuatrec.) Daly,6.4,6,,,760,NA,761,NA, 244 - 247,,P,U,MS1_4
843,Madre selva,25/11/2015,10,130,MS1,4,Annonaceae,Oxandra,major,Oxandra major,R.E.Fr.,5.8,6,,,760,NA,761,NA, 244 - 247,,P,U,MS1_4
844,Madre selva,25/11/2015,10,130,MS1,4,Meliaceae,Guarea,pubescens,Guarea pubescens,(Rich.) A. Juss.,11.5,7,,,760,NA,761,NA, 244 - 247,,P,U,MS1_4
845,Madre selva,25/11/2015,10,130,MS1,4,Arecaceae,Astrocaryum,murumuru,Astrocaryum murumuru,Mart.,20.5,6,,,760,NA,761,NA, 244 - 247,,P,U,MS1_4
846,Madre selva,25/11/2015,10,130,MS1,4,Arecaceae,Socratea,exorrhiza,Socratea exorrhiza,(Mart.) H. Wendl.,13,15,,,760,NA,761,NA, 244 - 247,,P,U,MS1_4
847,Madre selva,25/11/2015,10,130,MS1,4,Chrysobalanaceae,Couepia,dolichopoda,Couepia dolichopoda,Prance,7.5,7,,,760,NA,761,NA, 244 - 247,,P,U,MS1_4
848,Madre selva,25/11/2015,10,130,MS1,4,Myristicaceae,Otoba,glycycarpa,Otoba glycycarpa,(Ducke) W.A. Rodrigues & T.S. Jaram.,34.4,13,,,760,NA,761,NA, 244 - 247,,P,U,MS1_4
849,Madre selva,25/11/2015,10,130,MS1,4,Myristicaceae,Otoba,parvifolia,Otoba parvifolia,(Markgr.) A.H. Gentry,22.1,10,,,760,NA,761,NA, 244 - 247,,P,U,MS1_4
850,Madre selva,25/11/2015,10,130,MS1,4,Lecythidaceae,Eschweilera,rufifolia,Eschweilera rufifolia, S.A. Mori,63,18,,,760,NA,761,NA, 244 - 247,,P,U,MS1_4
851,Madre selva,25/11/2015,30,0,MS1,7,Myristicaceae,Otoba,parvifolia,Otoba parvifolia,(Markgr.) A.H. Gentry,16.1,10,,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
852,Madre selva,25/11/2015,30,0,MS1,7,Fabaceae,Inga,umbellifera,Inga umbellifera,(Vahl) DC.,10.7,8,latex rojo,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
853,Madre selva,25/11/2015,30,0,MS1,7,Malvaceae,Herrania,mariae,Herrania mariae,(Mart.) Decne. ex Goudot,3.5,4,flores y frutos,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
854,Madre selva,25/11/2015,30,0,MS1,7,Myrtaceae,Eugenia,cuspidifolia,Eugenia cuspidifolia,DC.,3.9,5,,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
855,Madre selva,25/11/2015,30,0,MS1,7,Ulmaceae,Celtis,iguanae,Celtis iguanae,(Jacq.) Sarg.,9.2,7,,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
856,Madre selva,25/11/2015,30,0,MS1,7,Euphorbiaceae,Sapium,marmieri,Sapium marmieri,Huber,13.4,7,,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
857,Madre selva,25/11/2015,30,0,MS1,7,Euphorbiaceae,Acalypha,macrostachya,Acalypha macrostachya,Müll. Arg.,22.5,18,,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
858,Madre selva,25/11/2015,30,0,MS1,7,Siparunaceae,Siparuna,thecaphora,Siparuna thecaphora,(Poepp. & Endl.) A.DC.,3.2,5,,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
859,Madre selva,25/11/2015,30,0,MS1,7,Lauraceae,Nectandra,acuminata,Nectandra acuminata,(Nees) J.F.Macbr.,7,7,,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
860,Madre selva,25/11/2015,30,0,MS1,7,Malvaceae,Apuleia,leiocarpa,Apuleia leiocarpa,(Vogel) J.F. Macbr.,11.9,8,,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
861,Madre selva,25/11/2015,30,0,MS1,7,Piperaceae,Piper,propinquum,Piper propinquum, C. DC.,3.4,5,,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
862,Madre selva,25/11/2015,30,0,MS1,7,Meliaceae,Guarea,kunthiana,Guarea kunthiana, A. Juss.,5.5,7,,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
863,Madre selva,25/11/2015,30,0,MS1,7,Myrtaceae,Eugenia,cuspidifolia,Eugenia cuspidifolia,DC.,6.5,5,,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
864,Madre selva,25/11/2015,30,0,MS1,7,Rubiaceae,Chimarhis,brevipes,Chimarhis brevipes,Steyerm,3.6,3,,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
865,Madre selva,25/11/2015,30,0,MS1,7,Malvaceae,Quararibea,amazonica,Quararibea amazonica,Ulbr.,3,3,,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
866,Madre selva,25/11/2015,30,0,MS1,7,Malvaceae,Apuleia,leiocarpa,Apuleia leiocarpa,(Vogel) J.F. Macbr.,4.7,7,,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
867,Madre selva,25/11/2015,30,0,MS1,7,Salicaceae,Casearia,obovalis,Casearia obovalis,Poepp. ex Griseb.,5.2,7,,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
868,Madre selva,25/11/2015,30,0,MS1,7,Salicaceae,Casearia,obovalis,Casearia obovalis,Poepp. ex Griseb.,4.6,6,,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
869,Madre selva,25/11/2015,30,0,MS1,7,Rubiaceae,Chimarhis,brevipes,Chimarhis brevipes,Steyerm,3.3,5,,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
870,Madre selva,25/11/2015,30,0,MS1,7,Malvaceae,Quararibea,amazonica,Quararibea amazonica,Ulbr.,20.7,8,,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
871,Madre selva,25/11/2015,30,0,MS1,7,Linaceae,Roucheria,punctata,Roucheria punctata,(Ducke) Ducke,3.8,3,,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
872,Madre selva,25/11/2015,30,0,MS1,7,Myristicaceae,Otoba,glycycarpa,Otoba glycycarpa,(Ducke) W.A. Rodrigues & T.S. Jaram.,17.5,9,,,762,NA,763,NA, 248 - 251,,P,U,MS1_7
873,Madre selva,25/11/2015,320,200,MS1,6,Myristicaceae,Virola,multinervia,Virola multinervia,Ducke,11,9,,,764,NA,765,NA, 252 - 255,,P,U,MS1_6
874,Madre selva,25/11/2015,320,200,MS1,6,Rubiaceae,Capirona,decorticans,Capirona decorticans,Spruce,17,10,,,764,NA,765,NA, 252 - 255,,P,U,MS1_6
875,Madre selva,25/11/2015,320,200,MS1,6,Violaceae,Rinorea,viridifolia,Rinorea viridifolia,Rusby,4.6,4.5,,,764,NA,765,NA, 252 - 255,,P,U,MS1_6
876,Madre selva,25/11/2015,320,200,MS1,6,Myristicaceae,Iryanthera,paraensis,Iryanthera paraensis,Huber,5.9,6,,,764,NA,765,NA, 252 - 255,,P,U,MS1_6
877,Madre selva,25/11/2015,320,200,MS1,6,Olacaceae,Heisteria,acuminata,Heisteria acuminata,(Bonpl.) Engl.,9,7,corteza anaranjada ,,764,NA,765,NA, 252 - 255,,P,U,MS1_6
